Servo,Weight(g),Torque(kg)(min. 0.01kg),Speed (Sec/60deg),A(mm),B(mm),C(mm),D(mm),E(mm),F(mm)
https://hobbyking.com/en_us/turnigytm-tgy-375dmg-w-heat-sink-ds-mg-2-3kg-0-11sec-11-5g.html,39,2.3,0.11,30,23,26,12,32,15
https://hobbyking.com/en_us/digital-metal-gear-servo-16g-3-9kg-13sec.html,39,3.9,0.13,32,23,29,12,31,19
https://hobbyking.com/en_us/hks-9650-high-speed-servo-2-3kg-25g-0-08sec.html,41,2.3,0.08,33,36,30,15,50,20
https://hobbyking.com/en_us/hobbykingtm-hk7000mg-coreless-servo-3-5kg-0-07sec-19g.html,42,3.5,0.07,34,34,30,14,48,20
https://hobbyking.com/en_us/bms-371-micro-precision-servo-1-5kg-12sec-8g.html,43,1.5,0.12,30,25,26,12,34,15
https://hobbyking.com/en_us/turnigy-digital-high-torque-ballraced-servo-26g-3-5kg-12sec.html,45,3.5,0.12,35,31,31,16,44,20
https://hobbyking.com/en_us/corona-cs238mg-metal-gear-servo-4-6kg-0-14sec-22g.html,45,22,0.14,35,30,31,13,41,19
https://hobbyking.com/en_us/turnigytm-tgy-390dmh-high-performance-ds-mg-servo-5-4kg-0-11sec-22-5g.html,47,5.4,0.11,35,30,31,13,40,22
https://hobbyking.com/en_us/bms-390dmh-high-performance-digital-servo-extra-strong-5-4kg-11sec-22-5g.html,47,5.4,0.11,35,30,31,13,40,22
https://hobbyking.com/en_us/turnigytm-mx-907e-coreless-bb-park-servo-2-5kg-0-08sec-20g.html,47,2.5,0.08,36,35,32,15,49,23
https://hobbyking.com/en_us/rjx-fs-0435hv-metal-gear-digital-servo-ultra-high-speed-3-4kg-0-04sec-20g.html,48,3.4,0.04,32,23,29,12,32,21
https://hobbyking.com/en_us/skate-1000-trimaran-sailboat-1700mm-3kg-steering-servo.html,48,3,0.19,43,40,37,20,55,28
https://hobbyking.com/en_us/goteck-dc2124t-digital-mg-metal-cased-mini-servo-20g-5-8kg-0-12sec.html,48,5.8,0.12,31,23,28,12,32,20
https://hobbyking.com/en_us/hobbykingtm-hk15158b-digital-coreless-mini-servo-bb-2kg-0-08sec-32g.html,49,1.5,0.08,33,36,30,15,49,22
https://hobbyking.com/en_us/goteck-dc1511s-digital-mg-high-torque-low-profile-car-servo-45g-12kg-0-09sec.html,50,12,0.09,31,41,26,20,54,17
https://hobbyking.com/en_us/goteck-da2311t-digital-mg-metal-cased-park-servo-23g-5-2kg-0-12sec.html,51,5.2,0.12,33,30,30,10,42,22
https://hobbyking.com/en_us/goteck-da2312t-digital-mg-metal-cased-park-servo-23g-6-4kg-0-16sec.html,51,6.4,0.16,33,30,30,10,42,22
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-3-0kg-0-08sec-26g.html,53,3,0.08,32,36,30,15,49,20
https://hobbyking.com/en_us/bms-136-retract-servo-6-1kg-31sec-28g.html,55,6.1,0.31,27,43,24,21,54,16
https://hobbyking.com/en_us/power-hd-3688hb-digital-servo-2-8kg-0-07sec-25g.html,55,2.8,0.07,32,35,29,14,48,19
https://hobbyking.com/en_us/bms-705-low-profile-high-torque-servo-6-0kg-18sec-28g.html,56,6,0.18,27,43,23.58,21,54,16
https://hobbyking.com/en_us/s24011-heavy-duty-high-speed-servo-24-7g-2-4kg-08sec.html,57,2.4,0.08,34,36,30,15,49,20
https://hobbyking.com/en_us/corona-ds329mg-digital-metal-gear-servo-3-8kg-0-11sec-32g.html,58,4.5,0.11,38,32,34,17,45,24
https://hobbyking.com/en_us/corona-ds339mg-digital-metal-gear-servo-4-4kg-0-15sec-32g.html,58,5,0.14,37,32,34,17,44,24
https://hobbyking.com/en_us/d26010-26g-2-4kg-08sec-digital-high-speed-servo.html,59,2.4,0.08,34,36,30,16,49,20
https://hobbyking.com/en_us/turnigytm-mx-300s-bb-standard-servo-4-8kg-0-14sec-37g.html,60,4.8,0.14,40,39,36,19,55,26
https://hobbyking.com/en_us/turnigytm-mx-300s-standard-digital-servo-4-8kg-0-14sec-37g.html,60,4.8,0.14,40,39,36,19,55,26
https://hobbyking.com/en_us/bms-136mg-retract-servo-metal-gear-6-1kg-31sec-34g.html,61,7.8,0.24,27,43,23.5,20,54,16
https://hobbyking.com/en_us/bms-21hv-high-voltage-micro-servo-metal-gear-3-2kg-09sec-15-2g.html,62,3.2,0.09,29,23,26,12,33,19
https://hobbyking.com/en_us/bms-22hv-high-voltage-micro-servo-metal-gear-2-5kg-05sec-15-2g.html,62,2.5,0.05,29,23,26,12,33,19
https://hobbyking.com/en_us/vigor-vs-2a-servo-39-2g-5kg-0-17sec.html,62,5,0.17,42,41,38,19.3,55,26
https://hobbyking.com/en_us/bms-760dmg-low-profile-digital-servo-metal-gear-5-6kg-18sec-34g.html,63,7.2,0.16,27,43,24,21,55,16
https://hobbyking.com/en_us/goteck-hc2422t-hv-digital-mg-metal-cased-car-servo-35g-8-5kg-0-08sec.html,64,8.5,0.08,34,35,30,15,48,21
https://hobbyking.com/en_us/bms-376dmg-hs-mini-digital-servo-mg-1-6kg-13sec-12g.html,65,1.6,0.13,28,23,23,12,32,14
https://hobbyking.com/en_us/goteck-hc2421t-hv-digital-mg-metal-cased-car-servo-35g-6-5kg-0-05sec.html,67,6.5,0.05,34,35,30,15,48,21
https://hobbyking.com/en_us/ssv-42g-9-7kg-cm-12sec-servo.html,69,9.7,0.12,44,39,39,19,52,27
https://hobbyking.com/en_us/goteck-hb2411t-hv-digital-brushless-mg-metal-cased-car-servo-35g-5-5kg-0-05sec.html,69,5.5,0.05,34,35,30,15,48,21
https://hobbyking.com/en_us/goteck-hb2412t-hv-digital-brushless-mg-metal-cased-car-servo-7-5kg-0-07sec-35g.html,69,7.5,0.07,34,35,30,15,48,21
https://hobbyking.com/en_us/sw4805-6pa-sailwinch-servo-6-13kg-45g-0-70.html,72,6.13,0.7,44,41,40,20,58,72
https://hobbyking.com/en_us/bms-621-high-speed-servo-6-4kg-13sec-41g.html,72,7.2,0.1,41,41,37.68,21,54,27
https://hobbyking.com/en_us/turnigytm-mx-355wp-waterproof-bb-as-mg-servo-12kg-0-14sec-42g.html,72,12,0.14,40,39,36,19,55,26
https://hobbyking.com/en_us/power-hd-ar-3606hb-robot-servo.html,73,6.7,0.14,43,40,39,20,54,25
https://hobbyking.com/en_us/turnigytm-tgy-s4405s-dual-bearing-ds-servo-4-4kg-0-10sec-39g.html,75,4.4,0.1,42,41,38,21,55,27
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-5kg-0-06sec-52g.html,75,5.5,0.06,44,40,40,20,54,29
